,open,high,low,close,volume
20150624,22099,22121,22026,22060,5626140
20150623,21895,22095,21843,22069,6410636
20150622,21773,21873,21700,21778,6824488
20150619,21713,21752,21617,21704,5071492
20150618,21621,21743,21521,21595,10595640
20150617,21526,21552,21408,21530,11918837
20150616,21674,21717,21339,21513,9172957
20150615,21643,21773,21578,21691,9004397
20150612,21991,22086,21717,21765,6338982
20150611,21930,21973,21826,21952,11751851
20150610,22060,22112,21830,21869,6408850
20150609,22034,22117,21895,21999,4570465
20150608,22052,22073,21939,22034,7422072
20150605,22021,22173,21986,22078,4540174
20150604,22082,22256,22012,22104,11109379
20150603,22247,22304,22004,22021,8383873
20150602,22417,22499,22165,22225,9367836
20150601,22573,22573,22291,22438,5507249
20150529,22469,22730,22434,22643,6315407
20150528,22599,22677,22525,22525,15304684
20150527,22873,22882,22482,22530,9869520
20150526,23108,23108,22912,22990,6698379
20150522,22812,23056,22795,23034,9134678
20150521,22960,22995,22725,22738,10061511
20150520,22843,23012,22799,22999,3912451
20150519,22686,22856,22625,22790,6364043
20150518,22682,22690,22560,22686,9353484
20150515,22951,23016,22630,22634,9420801
20150514,22795,22882,22751,22860,3780197
20150513,22695,22882,22695,22830,4120750
20150512,22686,22734,22617,22690,4877101
20150511,22808,22882,22704,22704,5350605
20150508,22769,22777,22664,22664,8509062
20150507,22843,22851,22599,22760,10310285
20150506,23151,23151,22843,22864,7060058
20150504,23203,23299,23164,23238,3202725
20150430,23195,23225,23082,23164,8607813
20150429,23425,23538,23108,23268,10055877
20150428,23452,23491,23276,23319,4464144
20150427,23568,23581,23388,23401,4545267
20150424,23650,23830,23465,23469,12073180
20150423,23379,23628,23293,23620,11620441
20150422,23186,23482,23186,23285,10898970
20150421,23246,23263,23169,23177,8637110
20150420,23096,23242,23092,23199,5754186
20150417,23229,23272,23177,23212,10081027
20150416,23117,23225,23100,23195,7609709
20150415,22941,23074,22933,23027,10551519
20150414,22808,22980,22804,22907,10043159
20150413,22684,22842,22671,22800,14732557
20150410,22413,22722,22387,22628,10873888
20150409,22366,22447,22319,22370,7034545
20150408,22237,22426,22233,22387,6065218
20150407,22353,22366,22228,22228,4850697
20150406,22271,22383,22241,22276,5864728
20150403,22142,22293,22134,22284,3985754
20150402,22130,22215,22095,22117,6299052
20150401,22228,22267,22091,22095,4532764
20150331,22374,22387,22224,22267,8026492
20150330,22190,22267,22138,22258,4793751
20150327,22246,22293,22181,22211,5675905
20150326,22336,22430,22228,22263,8980562
20150325,22469,22546,22361,22469,5631298
20150324,22400,22469,22331,22469,4319164
20150323,22499,22568,22400,22422,10656294
20150320,22482,22507,22383,22413,8573757
20150319,22589,22598,22443,22482,11220331
20150318,22417,22512,22400,22417,13581111
